"File","Width","Height","Expected","SizePass","Sha256"
"all_souls_return.png","1000","760","1000x760","True","FCEB811381782577EF4E5DB0537FA41DB6D1146EF8EC6A39C5F9596503F5586A"
"ancient_dragon_lightning.png","1000","760","1000x760","True","5AA7649FCC2F96FA85665089F8F7497516F03C1037940D861DB80E6C6ECB964E"
"ancient_dragon_spear.png","1000","760","1000x760","True","754A11E70EA4DA37F6FB3A562B79C443AADDBDFFBC0F053748F803D8FB74FE1F"
"blessing_of_grace.png","1000","760","1000x760","True","662B5CD11783A1E2776F36AD339E968A23BF655EB367848A65D645288343DF6E"
"bone_coin.png","1000","760","1000x760","True","F515C5CFB525E472D92996293AE6F43FDB6A66191AA8480F24D2F817179058CF"
"burn_life.png","1000","760","1000x760","True","6C7E0915793447CEED42FB229BBDF40648630758046AD6A8191077EC06B4FFE6"
"concerto.png","606","852","606x852","True","BD41BC57D95205EEE3D9A7D596D6637C4215C74EB4A5387394AB242F3A2E4B56"
"dead_realm_spirit_fire.png","1000","760","1000x760","True","86BA0B997968F8F80B2F954A6C334390B6734284DF80A39B87A3D80F6BDC93CE"
"emergency_restore.png","1000","760","1000x760","True","6CDFC4CFDAE87421FC47E66154609643FBE466FEF3EE89F4089907586DB926C3"
"ensemble.png","1000","760","1000x760","True","F5AD7461E0D99350F54176F2DABF1661FCE93FB1BBB1706E8B91D4A33B68E51B"
"fight_for_me.png","606","852","606x852","True","A7E739395C26B4BC4631FAB21B5A5AB3FA5881C26F194C7B04BAC1E5164BDF32"
"frenzied_three_fingers.png","1000","760","1000x760","True","21A3DAFD80F5D9A8E6F5C56B0B78198CDC5B1D9E18C6384AB6730ED23F2D75A6"
"gaze_beyond.png","1000","760","1000x760","True","C2407969658405D7BE6080E21F4ACA373A96FC11DADF2E94545E5FA86506FD12"
"greater_recover.png","1000","760","1000x760","True","B65AEA3A5A044501FA9DDC825B32DBF9DF083ED6514500FD78082420F4CE4706"
"grooming.png","1000","760","1000x760","True","B0EC24B2EB5BA4CC8BD9BF9CC6A5DBDB11C3CCA2F227005E387FD11D27D2CF77"
"gurranqs_rock.png","1000","760","1000x760","True","42BE153AA1E6B0CC212140618E9E08F8383ED6E375E0763FF93122EF62584DD9"
"heavy_echo.png","1000","760","1000x760","True","7ECCEC74FEBB48D09E45F8A96C6A2FD9BF0B0B930C337B52A0D4151C54171DC4"
"kings_recovery.png","1000","760","1000x760","True","1388BEAFFD519FCACB196D8B351322320FD086A2278F24A51A6A7B54496FB11E"
"lansseax_blade.png","1000","760","1000x760","True","12341E59BEE2CF90F69ED569BB11D0F584464AA21603802518973F4FFC3A6E10"
"light_spirit.png","1000","760","1000x760","True","EF74EE487BF2F390911D54E70F151ECD0DC708A1908A1AAE3715D102FE078EA7"
"precise_lightning_strike.png","1000","760","1000x760","True","F7484A13098AEA20A16728545C6FD864739EB0D08D7C2635A4E640A420DF7F8C"
"reanimate_dead.png","1000","760","1000x760","True","AAA949C87F6A6CE281814B7792A7650AA416ABBA727737D27B2FEA05BB1E5D2D"
"recover.png","1000","760","1000x760","True","9427B978ECAE65BFC47AC617DC23E29716E54BC249605B7190FE8FA280D485BA"
"resurgence.png","1000","760","1000x760","True","2EC9DC46060651D9388EFFBB66993E4EFD0F23319429EDC72C7F421E532452C6"
"revenant_card.png","1000","760","1000x760","True","2DDEA62A50AD53E4782CA521C55C86C0452CA0CA69269165A3A62915875A982E"
"soul_cursing_bell.png","1000","760","1000x760","True","26E09EF7FE7B64239A919D25B29B98A7CDC324466CE92CFC6C8D6ADC7D4737C8"
"soul_return.png","1000","760","1000x760","True","D2806100F424336519748D87D7B8A384D32F8125F87CE4FEDE07E9D290597F00"
"soul_summon.png","1000","760","1000x760","True","8031B270DF5A360B4025BECDC6928F41D4F1134A542CEEF375261E32A0552D60"
"soulbound.png","1000","760","1000x760","True","0F22A95E075F19A9728EA91C771AE66A4889B2F75D2C2799DBFBC1B539F1B08B"
"space_rending_frenzy.png","1000","760","1000x760","True","94D87B1205B34FB27198311AF15B994E241C571DF4F6AB43581CFB2472A1CF44"
"spirit_gathering.png","1000","760","1000x760","True","EEBE8088A9E7CE229709F3EC1F65197A2D2F189C45E2330E8BCB58608C36BD4C"
"strike_revenant.png","1000","760","1000x760","True","877F118D2EDA98954AAD3788F0BC3E7C81EF64219A31C831A58DB0BA1CAF235E"
"stun_call.png","1000","760","1000x760","True","03B8A7C4F37186A45B78F20CBEFB6B43906BE2C15CDDD095523B581BA3CE3D11"
"surge.png","1000","760","1000x760","True","373B0EAA6446783A5973EDDEE0B27328B3BABCB528504B2E86960BE2D1F32D1F"
"underworld_reflection.png","1000","760","1000x760","True","DD11A55AE63F198565199365A9024A5E5C5D5D9487F211AF84224F1E83784D75"
"white_shadow_lure.png","1000","760","1000x760","True","13D3BED9483BA40B0C01FB42FA27F69331FA7DB27E281BF1340D5E90656341BD"
